YEAR MO DY HR MN   Hs   Tp   Dp    Depth   Ta    Pres   Wspd Wdir Temp   Temp  Cspd Cdir P
      UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2008 08 09 16 24  0.75  8.33  52           4.52                           29.0           1
2008 08 09 16 54  0.68  5.88  53           4.28                           29.0           1
2008 08 09 17 24  0.66  8.33  52           4.33                           28.9           1
2008 08 09 17 54  0.66  7.69  47           4.41                           29.0           1
2008 08 09 18 24  0.66  5.88  47           4.64                           29.0           1
2008 08 09 18 54  0.69  6.67  49           4.66                           29.0           1
2008 08 09 19 24  0.66  6.25  47           4.70                           29.0           1
2008 08 09 19 54  0.64  6.67  50           4.71                           29.0           1
2008 08 09 20 24  0.62  5.88  47           4.62                           29.0           1
2008 08 09 20 54  0.64  6.67  50           4.77                           28.9           1
2008 08 09 21 24  0.70  7.69  49           4.77                           29.0           1
2008 08 09 21 54  0.69  5.56  55           4.61                           28.9           1
2008 08 09 22 24  0.75  6.25  50           4.86                           28.9           1
2008 08 09 22 54  0.69  7.14  49           4.67                           28.8           1
2008 08 09 23 24  0.68  6.25  46           4.70                           28.9           1
2008 08 09 23 54  0.74  6.25  50           4.95                           28.9           1
2008 08 10 00 24  0.73  5.88  45           4.96                           28.9           1
2008 08 10 00 54  0.66  6.67  45           4.65                           28.9           1
2008 08 10 01 24  0.71  6.25  47           4.35                           28.8           1
2008 08 10 01 54  0.77  7.69  55           4.29                           28.8           1
2008 08 10 02 24  0.76  6.67  49           4.23                           28.8           1
2008 08 10 02 54  0.74  6.67  52           4.06                           28.8           1
2008 08 10 03 24  0.75  6.25  50           4.08                           28.8           1
2008 08 10 03 54  0.80  6.25  47           4.10                           28.8           1
2008 08 10 04 24  0.84  6.67  46           4.15                           28.8           1
2008 08 10 04 54  0.71  7.14  45           4.04                           28.8           1
2008 08 10 05 24  0.75  6.67  43           4.01                           28.8           1
2008 08 10 05 54  0.77  6.67  45           4.15                           28.8           1
2008 08 10 06 24  0.77  6.67  45           4.10                           28.8           1
2008 08 10 06 54  0.76  5.88  40           4.25                           28.8           1
2008 08 10 07 24  0.80  6.67  45           4.37                           28.8           1
2008 08 10 07 54  0.78  6.67  43           4.33                           28.8           1
2008 08 10 08 24  0.78  5.88  46           4.45                           28.8           1
2008 08 10 08 54  0.87  5.88  46           4.59                           28.8           1
2008 08 10 09 24  0.81  6.67  43           4.47                           28.8           1
2008 08 10 09 54  0.81  6.25  45           4.45                           28.8           1
2008 08 10 10 24  0.79  6.25  45           4.42                           28.8           1
2008 08 10 10 54  0.82  6.25  45           4.40                           28.8           1
2008 08 10 11 24  0.83  6.25  46           4.23                           28.8           1
2008 08 10 11 54  0.86  5.88  49           4.12                           28.8           1
2008 08 10 12 24  0.85  6.67  47           4.26                           28.8           1
2008 08 10 12 54  0.81  6.25  46           4.17                           28.8           1
2008 08 10 13 24  0.85  5.88  47           4.23                           28.8           1
2008 08 10 13 54  0.87  6.25  46           4.18                           28.9           1
2008 08 10 14 24  0.83  6.25  46           4.18                           29.0           1
2008 08 10 14 54  0.79  6.67  46           4.10                           29.0           1
2008 08 10 15 24  0.79  6.25  45           4.18                           29.0           1
2008 08 10 15 54  0.69  6.25  52           4.00                           29.0           1
2008 08 10 16 24  0.75  6.67  49           4.25                           29.0           1
2008 08 10 16 54  0.71  6.25  49           4.06                           29.0           1
2008 08 10 17 24  0.67  6.67  52           4.09                           29.0           1
2008 08 10 17 54  0.67  5.88  47           4.04                           29.0           1
2008 08 10 18 24  0.62  5.88  46           4.07                           29.0           1
2008 08 10 18 54  0.58  5.56  43           3.98                           29.0           1
2008 08 10 19 24  0.62  5.26  46           4.08                           29.0           1
2008 08 10 19 54  0.68  6.25  49           4.25                           29.0           1
2008 08 10 20 24  0.67  6.25  50           4.57                           29.0           1
2008 08 10 20 54  0.68  6.25  53           4.56                           29.0           1
2008 08 10 21 24  0.60  6.25  52           4.61                           29.0           1
2008 08 10 21 54  0.63  5.56  52           4.23                           29.0           1
2008 08 10 22 24  0.54  6.67  50           3.96                           29.0           1
