YEAR MO DY HR MN   Hs   Tp   Dp    Depth   Ta    Pres   Wspd Wdir Temp   Temp  Cspd Cdir P
      UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2008 08 19 01 54  0.59  9.09  52           4.64                           29.3           1
2008 08 19 02 24  0.56  8.33  52           4.42                           29.2           1
2008 08 19 02 54  0.60  9.09  47           4.43                           29.2           1
2008 08 19 03 24  0.62  7.14  50           4.41                           29.2           1
2008 08 19 03 54  0.58  9.09  52           4.35                           29.2           1
2008 08 19 04 24  0.62  6.25  56           4.50                           29.2           1
2008 08 19 04 54  0.63  7.69  59           4.35                           29.2           1
2008 08 19 05 24  0.62  8.33  50           4.07                           29.3           1
2008 08 19 05 54  0.66  8.33  57           4.17                           29.2           1
2008 08 19 06 24  0.66  7.14  47           4.05                           29.2           1
2008 08 19 06 54  0.63  5.00  52           4.13                           29.2           1
2008 08 19 07 24  0.68  7.69  47           4.43                           29.2           1
2008 08 19 07 54  0.67  7.69  53           4.45                           29.2           1
2008 08 19 08 24  0.69  8.33  52           4.47                           29.2           1
2008 08 19 08 54  0.66  9.09  55           4.34                           29.1           1
2008 08 19 09 24  0.66  8.33  52           4.36                           29.2           1
2008 08 19 09 54  0.67  9.09  56           4.56                           29.2           1
2008 08 19 10 24  0.60  8.33  53           4.23                           29.2           1
2008 08 19 10 54  0.62  9.09  53           4.36                           29.2           1
2008 08 19 11 24  0.64  8.33  59           4.27                           29.1           1
2008 08 19 11 54  0.65  9.09  59           4.48                           29.2           1
2008 08 19 12 24  0.66  8.33  53           4.42                           29.2           1
2008 08 19 12 54  0.65  9.09  56           4.19                           29.2           1
2008 08 19 13 24  0.71 10.53  47           4.19                           29.2           1
2008 08 19 13 54  0.69  9.88  53           4.48                           29.2           1
2008 08 19 14 24  0.67  9.09  57           4.35                           29.2           1
2008 08 19 14 54  0.72  9.09  52           4.50                           29.2           1
2008 08 19 15 24  0.71  8.33  55           4.52                           29.2           1
2008 08 19 15 54  0.64  9.09  50           4.34                           29.3           1
2008 08 19 16 24  0.66  9.09  52           4.44                           29.3           1
2008 08 19 16 54  0.67  9.09  53           4.40                           29.5           1
2008 08 19 17 24  0.70  9.09  57           4.54                           29.5           1
2008 08 19 17 54  0.70  9.09  55           4.71                           29.5           1
2008 08 19 18 24  0.72  9.09  56           4.65                           29.5           1
2008 08 19 18 54  0.68  9.09  56           4.57                           29.5           1
2008 08 19 19 24  0.71  9.09  55           4.70                           29.6           1
2008 08 19 19 54  0.66  9.09  55           4.64                           29.7           1
2008 08 19 20 24  0.66  9.09  55           4.48                           29.6           1
2008 08 19 20 54  0.72  9.09  56           4.60                           29.5           1
2008 08 19 21 24  0.65  9.09  57           4.16                           29.5           1
2008 08 19 21 54  0.66  9.09  55           4.16                           29.5           1
2008 08 19 22 24  0.67  9.09  57           4.03                           29.5           1
2008 08 19 22 54  0.66  9.09  57           4.00                           29.5           1
2008 08 19 23 24  0.68  9.09  56           4.18                           29.5           1
2008 08 19 23 54  0.64  8.33  57           3.92                           29.5           1
2008 08 20 00 24  0.63  9.09  53           3.95                           29.4           1
2008 08 20 00 54  0.62  8.33  55           3.90                           29.4           1
2008 08 20 01 24  0.60  9.09  52           4.19                           29.4           1
2008 08 20 01 54  0.57  8.33  55           4.30                           29.4           1
2008 08 20 02 24  0.55  9.09  53           4.42                           29.4           1
2008 08 20 02 54  0.54  8.33  52           4.35                           29.5           1
2008 08 20 03 24  0.55  8.33  53           4.51                           29.4           1
2008 08 20 03 54  0.54  9.09  52           4.27                           29.4           1
2008 08 20 04 24  0.55  8.33  55           4.18                           29.4           1
2008 08 20 04 54  0.57  8.33  52           3.99                           29.5           1
2008 08 20 05 24  0.61  8.33  53           3.96                           29.5           1
2008 08 20 05 54  0.62  8.33  53           3.89                           29.5           1
2008 08 20 06 24  0.60  8.33  55           3.91                           29.5           1
2008 08 20 06 54  0.59  7.69  50           3.75                           29.5           1
2008 08 20 07 24  0.58  8.33  53           3.76                           29.5           1
2008 08 20 07 54  0.60  7.69  55           3.75                           29.5           1
2008 08 20 08 24  0.62  8.33  52           3.75                           29.5           1
2008 08 20 08 54  0.63  4.55  52           3.67                           29.5           1
2008 08 20 09 24  0.63  8.33  50           3.61                           29.5           1
2008 08 20 09 54  0.60  7.69  53           3.57                           29.5           1
2008 08 20 10 24  0.62  8.33  52           3.79                           29.4           1
2008 08 20 10 54  0.66  7.69  53           3.75                           29.3           1
2008 08 20 11 24  0.67  7.69  55           3.73                           29.3           1
2008 08 20 11 54  0.72  8.33  53           3.71                           29.3           1
2008 08 20 12 24  0.73  7.69  56           3.80                           29.3           1
2008 08 20 12 54  0.72  4.17  50           3.59                           29.3           1
2008 08 20 13 24  0.73  7.69  52           3.66                           29.4           1
2008 08 20 13 54  0.81  4.76  50           3.93                           29.5           1
2008 08 20 14 24  0.81  5.00  49           3.95                           29.5           1
2008 08 20 14 54  0.77  4.76  52           3.89                           29.5           1
2008 08 20 15 24  0.82  5.00  50           4.03                           29.5           1
2008 08 20 15 54  0.85  5.00  50           4.12                           29.5           1
2008 08 20 16 24  0.84  5.00  52           4.06                           29.6           1
2008 08 20 16 54  0.83  5.26  53           4.09                           29.7           1
2008 08 20 17 24  0.89  5.26  53           3.99                           29.7           1
2008 08 20 17 54  0.87  5.26  56           4.09                           29.8           1
2008 08 20 18 24  0.86  5.26  56           4.03                           29.8           1
2008 08 20 18 54  0.86  5.00  56           4.03                           29.7           1
2008 08 20 19 24  0.85  5.26  55           4.03                           29.7           1
2008 08 20 19 54  0.87  4.76  52           4.12                           29.7           1
2008 08 20 20 24  0.83  5.26  50           4.07                           29.6           1
2008 08 20 20 54  0.80  5.56  53           4.10                           29.6           1
2008 08 20 21 24  0.88  6.67  55           4.22                           29.7           1
2008 08 20 21 54  0.88  5.56  56           4.16                           29.8           1
2008 08 20 22 24  0.89  5.88  56           4.29                           29.8           1
2008 08 20 22 54  0.91  5.56  50           4.27                           29.7           1
2008 08 20 23 24  0.92  5.56  53           4.28                           29.6           1
2008 08 20 23 54  0.89  7.69  53           4.20                           29.7           1
2008 08 21 00 24  0.91  5.88  53           4.06                           29.6           1
2008 08 21 00 54  0.94  7.69  50           4.15                           29.5           1
2008 08 21 01 24  0.95  7.14  50           4.06                           29.5           1
2008 08 21 01 54  0.99  5.26  52           4.06                           29.5           1
2008 08 21 02 24  1.01  6.25  52           4.11                           29.5           1
2008 08 21 02 54  1.04  4.55  50           4.19                           29.5           1
2008 08 21 03 24  1.07  5.26  55           4.27                           29.5           1
2008 08 21 03 54  1.05  5.26  53           4.26                           29.5           1
2008 08 21 04 24  1.05  5.56  57           4.23                           29.4           1
2008 08 21 04 54  0.98  7.14  47           4.15                           29.3           1
2008 08 21 05 24  1.01  7.14  50           4.12                           29.3           1
2008 08 21 05 54  1.00  5.88  50           4.18                           29.4           1
2008 08 21 06 24  0.96  5.88  53           4.32                           29.5           1
2008 08 21 06 54  0.95  7.14  52           4.34                           29.5           1
2008 08 21 07 24  0.90  6.67  52           4.21                           29.5           1
2008 08 21 07 54  0.86  6.67  52           4.05                           29.5           1
2008 08 21 08 24  0.89  5.88  55           4.12                           29.5           1
2008 08 21 08 54  0.93  6.25  49           4.21                           29.5           1
2008 08 21 09 24  0.87  5.88  50           4.12                           29.5           1
2008 08 21 09 54  0.87  5.88  50           4.06                           29.5           1
2008 08 21 10 24  0.83  5.88  55           4.04                           29.5           1
2008 08 21 10 54  0.81  5.88  53           4.00                           29.4           1
2008 08 21 11 24  0.80  6.67  50           4.05                           29.4           1
2008 08 21 11 54  0.77  6.25  53           4.03                           29.4           1
2008 08 21 12 24  0.72  5.88  53           4.06                           29.4           1
2008 08 21 12 54  0.71  5.88  50           4.19                           29.3           1
2008 08 21 13 24  0.70  5.56  52           3.94                           29.3           1
2008 08 21 13 54  0.73  5.56  53           4.13                           29.3           1
2008 08 21 14 24  0.73  7.14  50           4.28                           29.3           1
2008 08 21 14 54  0.77  6.67  52           4.06                           29.3           1
2008 08 21 15 24  0.73  6.67  50           4.14                           29.3           1
2008 08 21 15 54  0.68  6.25  50           3.99                           29.5           1
2008 08 21 16 24  0.67  7.14  50           4.16                           29.5           1
2008 08 21 16 54  0.65  5.88  59           4.39                           29.5           1
2008 08 21 17 24  0.65  6.25  50           4.11                           29.6           1
2008 08 21 17 54  0.72  6.25  47           4.09                           29.7           1
2008 08 21 18 24  0.66  5.88  53           4.05                           29.7           1
2008 08 21 18 54  0.68  6.67  52           4.23                           29.8           1
2008 08 21 19 24  0.71  6.25  52           4.33                           29.8           1
2008 08 21 19 54  0.65  6.67  52           4.13                           29.8           1
2008 08 21 20 24  0.68  5.26  55           4.05                           29.8           1
2008 08 21 20 54  0.75  6.25  50           4.27                           29.8           1
2008 08 21 21 24  0.74  6.25  50           4.24                           29.8           1
2008 08 21 21 54  0.69  6.25  56           4.06                           29.7           1
2008 08 21 22 24  0.72  5.88  52           4.12                           29.7           1
2008 08 21 22 54  0.71  6.25  56           4.10                           29.7           1
2008 08 21 23 24  0.73  6.25  56           4.10                           29.8           1
2008 08 21 23 54  0.71  5.88  52           3.97                           29.8           1
2008 08 22 00 24  0.73  6.67  57           3.90                           29.8           1
2008 08 22 00 54  0.76  6.25  55           3.94                           29.8           1
2008 08 22 01 24  0.72  6.67  57           3.91                           29.7           1
2008 08 22 01 54  0.70  6.67  55           4.22                           29.6           1
2008 08 22 02 24  0.72  5.56  55           4.14                           29.6           1
2008 08 22 02 54  0.79  5.56  53           4.07                           29.7           1
2008 08 22 03 24  0.89  5.26  56           4.12                           29.7           1
2008 08 22 03 54  0.89  4.76  55           4.07                           29.7           1
2008 08 22 04 24  0.90  5.00  53           4.20                           29.7           1
2008 08 22 04 54  0.93  4.76  56           4.20                           29.5           1
2008 08 22 05 24  0.96  5.56  57           4.25                           29.4           1
2008 08 22 05 54  0.91  5.26  53           4.16                           29.4           1
2008 08 22 06 24  0.89  5.26  57           4.22                           29.4           1
2008 08 22 06 54  0.91  5.56  60           4.18                           29.3           1
2008 08 22 07 24  0.92  5.56  62           4.25                           29.3           1
2008 08 22 07 54  0.89  5.56  56           4.19                           29.3           1
2008 08 22 08 24  0.94  5.56  56           4.28                           29.3           1
2008 08 22 08 54  0.98  5.56  57           4.32                           29.3           1
2008 08 22 09 24  1.03  5.56  55           4.52                           29.3           1
2008 08 22 09 54  1.01  6.67  56           4.55                           29.3           1
2008 08 22 10 24  1.01  6.67  55           4.67                           29.3           1
2008 08 22 10 54  0.89  6.25  55           4.31                           29.3           1
2008 08 22 11 24  0.88  6.67  53           4.34                           29.3           1
2008 08 22 11 54  0.89  6.25  56           4.34                           29.3           1
2008 08 22 12 24  0.87  6.25  50           4.14                           29.3           1
2008 08 22 12 54  0.86  6.67  50           4.28                           29.3           1
2008 08 22 13 24  0.87  7.14  55           4.32                           29.4           1
2008 08 22 13 54  0.89  6.25  52           4.38                           29.2           1
2008 08 22 14 24  0.86  6.67  50           4.27                           29.2           1
2008 08 22 14 54  0.84  6.67  53           4.16                           29.2           1
2008 08 22 15 24  0.85  7.14  50           4.12                           29.3           1
2008 08 22 15 54  0.91  5.88  55           4.53                           29.4           1
2008 08 22 16 24  0.88  6.25  56           4.37                           29.5           1
2008 08 22 16 54  0.86  5.88  53           4.36                           29.5           1
2008 08 22 17 24  0.85  5.56  56           4.47                           29.5           1
2008 08 22 17 54  0.82  7.14  55           4.51                           29.5           1
2008 08 22 18 24  0.83  6.25  50           4.49                           29.5           1
2008 08 22 18 54  0.85  6.67  53           4.34                           29.7           1
2008 08 22 19 24  0.88  7.69  55           4.22                           29.6           1
2008 08 22 19 54  0.95  7.69  53           4.32                           29.6           1
2008 08 22 20 24  0.97  6.25  57           4.10                           29.6           1
2008 08 22 20 54  0.98  7.14  57           4.24                           29.6           1
2008 08 22 21 24  1.05  5.88  52           4.10                           29.6           1
2008 08 22 21 54  1.06  7.14  52           4.13                           29.6           1
2008 08 22 22 24  1.02  6.25  50           4.14                           29.6           1
2008 08 22 22 54  1.05  6.67  52           4.23                           29.7           1
2008 08 22 23 24  1.13  6.25  55           4.27                           29.7           1
2008 08 22 23 54  1.10  6.67  56           4.24                           29.7           1
2008 08 23 00 24  1.07  6.67  52           4.18                           29.7           1
2008 08 23 00 54  1.01  7.14  55           4.22                           29.6           1
2008 08 23 01 24  1.01  6.25  50           4.35                           29.5           1
2008 08 23 01 54  1.03  5.88  53           4.31                           29.5           1
2008 08 23 02 24  1.06  6.25  50           4.27                           29.5           1
2008 08 23 02 54  1.08  6.25  53           4.34                           29.5           1
2008 08 23 03 24  1.10  5.88  55           4.29                           29.4           1
2008 08 23 03 54  1.09  6.67  53           4.33                           29.4           1
2008 08 23 04 24  1.12  6.25  52           4.46                           29.4           1
2008 08 23 04 54  1.10  6.67  55           4.39                           29.3           1
2008 08 23 05 24  1.13  6.25  55           4.43                           29.3           1
2008 08 23 05 54  1.09  7.14  55           4.36                           29.3           1
2008 08 23 06 24  1.10  6.25  53           4.52                           29.3           1
2008 08 23 06 54  1.09  6.25  52           4.42                           29.3           1
2008 08 23 07 24  1.07  5.88  49           4.54                           29.3           1
2008 08 23 07 54  1.10  6.67  50           4.53                           29.3           1
2008 08 23 08 24  1.10  6.67  52           4.63                           29.3           1
2008 08 23 08 54  1.12  6.67  55           4.63                           29.3           1
2008 08 23 09 24  1.12  6.25  55           4.59                           29.3           1
2008 08 23 09 54  1.17  6.67  53           4.66                           29.3           1
2008 08 23 10 24  1.19  6.67  52           4.63                           29.3           1
2008 08 23 10 54  1.18  6.67  52           4.55                           29.3           1
2008 08 23 11 24  1.20  6.67  55           4.60                           29.3           1
2008 08 23 11 54  1.15  6.67  50           4.48                           29.3           1
2008 08 23 12 24  1.14  6.25  52           4.45                           29.3           1
2008 08 23 12 54  1.20  6.67  52           4.67                           29.3           1
2008 08 23 13 24  1.15  6.67  47           4.46                           29.3           1
2008 08 23 13 54  1.12  7.14  49           4.51                           29.3           1
2008 08 23 14 24  1.14  6.67  49           4.49                           29.4           1
2008 08 23 14 54  1.24  6.67  52           4.73                           29.4           1
2008 08 23 15 24  1.25  6.67  52           4.81                           29.4           1
2008 08 23 15 54  1.28  7.14  50           4.78                           29.4           1
2008 08 23 16 24  1.34  6.67  53           4.80                           29.4           1
2008 08 23 16 54  1.40  7.14  53           5.14                           29.4           1
2008 08 23 17 24  1.30  7.14  56           5.06                           29.4           1
2008 08 23 17 54  1.28  6.67  50           4.94                           29.4           1
2008 08 23 18 24  1.27  6.67  52           4.93                           29.3           1
2008 08 23 18 54  1.27  6.25  55           4.85                           29.4           1
2008 08 23 19 24  1.21  6.67  53           4.87                           29.3           1
2008 08 23 19 54  1.26  6.67  52           4.98                           29.4           1
2008 08 23 20 24  1.14  7.14  56           4.75                           29.4           1
2008 08 23 20 54  1.13  6.67  56           4.83                           29.4           1
2008 08 23 21 24  1.08  6.67  53           4.71                           29.3           1
2008 08 23 21 54  1.15  7.14  53           4.80                           29.3           1
2008 08 23 22 24  1.16  7.14  50           4.73                           29.3           1
2008 08 23 22 54  1.12  6.67  50           4.70                           29.3           1
2008 08 23 23 24  1.20  7.14  53           4.68                           29.3           1
2008 08 23 23 54  1.13  6.67  52           4.55                           29.3           1
2008 08 24 00 24  1.09  7.14  49           4.48                           29.3           1
2008 08 24 00 54  1.07  6.25  49           4.40                           29.3           1
2008 08 24 01 24  1.11  6.25  49           4.43                           29.3           1
2008 08 24 01 54  1.07  6.25  50           4.50                           29.3           1
2008 08 24 02 24  1.09  7.14  50           4.51                           29.3           1
2008 08 24 02 54  1.11  6.25  55           4.49                           29.3           1
2008 08 24 03 24  1.10  6.67  50           4.45                           29.3           1
2008 08 24 03 54  1.04  6.25  56           4.30                           29.3           1
2008 08 24 04 24  1.07  6.67  55           4.34                           29.3           1
2008 08 24 04 54  1.06  6.25  49           4.34                           29.2           1
2008 08 24 05 24  1.07  6.25  52           4.44                           29.2           1
2008 08 24 05 54  1.04  6.67  47           4.30                           29.2           1
2008 08 24 06 24  1.07  6.67  49           4.31                           29.2           1
2008 08 24 06 54  1.08  6.67  50           4.51                           29.2           1
2008 08 24 07 24  1.14  6.67  53           4.52                           29.2           1
2008 08 24 07 54  1.14  6.25  52           4.66                           29.2           1
2008 08 24 08 24  1.10  6.25  53           4.51                           29.2           1
2008 08 24 08 54  1.10  6.67  49           4.55                           29.2           1
2008 08 24 09 24  1.08  6.67  47           4.50                           29.2           1
2008 08 24 09 54  1.01  6.67  52           4.44                           29.2           1
2008 08 24 10 24  1.02  6.25  50           4.19                           29.2           1
2008 08 24 10 54  1.00  6.25  50           4.42                           29.2           1
2008 08 24 11 24  0.96  7.14  50           4.41                           29.2           1
2008 08 24 11 54  0.95  6.67  53           4.36                           29.2           1
2008 08 24 12 24  0.97  6.67  53           4.34                           29.2           1
2008 08 24 12 54  0.96  6.67  55           4.33                           29.2           1
2008 08 24 13 24  0.97  6.25  46           4.32                           29.2           1
2008 08 24 13 54  0.95  6.25  46           4.19                           29.2           1
2008 08 24 14 24  0.92  7.14  50           4.33                           29.2           1
2008 08 24 14 54  0.93  6.25  50           4.38                           29.2           1
2008 08 24 15 24  0.90  6.25  49           4.26                           29.2           1
2008 08 24 15 54  1.00  6.67  49           4.51                           29.2           1
2008 08 24 16 24  1.03  8.33  55           4.79                           29.2           1
2008 08 24 16 54  1.00  6.67  50           4.66                           29.3           1
2008 08 24 17 24  1.04  6.25  52           4.58                           29.2           1
2008 08 24 17 54  1.07  6.67  49           4.51                           29.2           1
2008 08 24 18 24  1.06  7.14  52           4.56                           29.3           1
2008 08 24 18 54  1.11  7.14  52           4.64                           29.3           1
2008 08 24 19 24  1.12  6.25  55           4.50                           29.3           1
2008 08 24 19 54  1.17  5.88  52           4.45                           29.3           1
2008 08 24 20 24  1.19  5.88  53           4.63                           29.2           1
2008 08 24 20 54  1.23  6.67  52           4.64                           29.3           1
2008 08 24 21 24  1.18  5.88  55           4.54                           29.3           1
2008 08 24 21 54  1.22  6.67  53           4.71                           29.2           1
2008 08 24 22 24  1.23  5.88  52           4.57                           29.3           1
2008 08 24 22 54  1.24  6.25  53           4.65                           29.2           1
2008 08 24 23 24  1.26  8.33  59           4.85                           29.2           1
2008 08 24 23 54  1.18  5.88  56           4.67                           29.2           1
2008 08 25 00 24  1.14  5.88  53           4.63                           29.2           1
2008 08 25 00 54  1.08  5.88  55           4.54                           29.2           1
2008 08 25 01 24  1.07  5.88  50           4.48                           29.2           1
2008 08 25 01 54  1.07  8.33  57           4.48                           29.2           1
2008 08 25 02 24  0.97  8.33  52           4.57                           29.2           1
2008 08 25 02 54  1.03  8.33  53           4.81                           29.2           1
2008 08 25 03 24  0.96  6.67  52           4.79                           29.3           1
2008 08 25 03 54  0.95  6.25  55           4.80                           29.2           1
2008 08 25 04 24  0.91  5.88  49           4.78                           29.2           1
2008 08 25 04 54  0.93  5.88  49           4.83                           29.2           1
2008 08 25 05 24  0.91  6.67  55           4.61                           29.2           1
2008 08 25 05 54  0.90  6.67  52           4.77                           29.2           1
2008 08 25 06 24  0.93  9.09  53           5.02                           29.2           1
2008 08 25 06 54  0.87  5.88  50           4.77                           29.2           1
2008 08 25 07 24  0.85  5.88  50           4.86                           29.2           1
2008 08 25 07 54  0.85  6.67  50           4.96                           29.2           1
2008 08 25 08 24  0.83  6.25  49           5.10                           29.2           1
2008 08 25 08 54  0.81  6.25  49           4.86                           29.2           1
2008 08 25 09 24  0.81  5.88  49           4.83                           29.2           1
2008 08 25 09 54  0.78  6.25  50           4.88                           29.2           1
2008 08 25 10 24  0.80  5.56  50           4.97                           29.2           1
2008 08 25 10 54  0.75  5.88  46           5.01                           29.2           1
2008 08 25 11 24  0.73  5.88  46           5.05                           29.2           1
2008 08 25 11 54  0.67  5.88  45           4.93                           29.2           1
2008 08 25 12 24  0.66  5.88  49           5.02                           29.1           1
2008 08 25 12 54  0.68  5.56  49           4.81                           29.2           1
2008 08 25 13 24  0.65  5.88  45           4.70                           29.2           1
2008 08 25 13 54  0.61  7.69  43           4.70                           29.2           1
2008 08 25 14 24  0.55  6.25  45           4.64                           29.2           1
2008 08 25 14 54  0.51  6.67  43           4.73                           29.3           1
2008 08 25 15 24  0.54  6.67  42           4.88                           29.3           1
2008 08 25 15 54  0.53  6.25  45           4.86                           29.2           1
2008 08 25 16 24  0.53  7.14  42           4.93                           29.2           1
2008 08 25 16 54  0.54  9.09  45           5.06                           29.2           1
2008 08 25 17 24  0.53  5.88  47           5.12                           29.2           1
2008 08 25 17 54  0.54  5.26  49           5.12                           29.2           1
2008 08 25 18 24  0.53  7.14  43           5.27                           29.2           1
2008 08 25 18 54  0.53  9.09  47           5.41                           29.2           1
2008 08 25 19 24  0.53  8.33  45           5.50                           29.2           1
2008 08 25 19 54  0.51  6.67  43           5.25                           29.2           1
2008 08 25 20 24  0.48  7.69  42           5.29                           29.2           1
2008 08 25 20 54  0.48  7.69  43           5.26                           29.2           1
2008 08 25 21 24  0.47  7.69  43           5.17                           29.2           1
2008 08 25 21 54  0.48  9.09  53           5.80                           29.2           1
2008 08 25 22 24  0.45  6.67  45           5.79                           29.2           1
2008 08 25 22 54  0.41  8.33  53           5.60                           29.2           1
2008 08 25 23 24  0.49  8.33  53           5.68                           29.2           1
2008 08 25 23 54  0.58  6.67  49           5.63                           29.2           1
2008 08 26 00 24  0.61  7.14  53           5.55                           29.2           1
2008 08 26 00 54  0.63  8.33  52           5.83                           29.2           1
2008 08 26 01 24  0.65  7.14  49           5.67                           29.2           1
2008 08 26 01 54  0.66  8.33  52           5.96                           29.2           1
2008 08 26 02 24  0.63  7.69  55           5.84                           29.1           1
2008 08 26 02 54  0.61  9.09  56           5.80                           29.1           1
2008 08 26 03 24  0.62  7.69  55           6.01                           29.2           1
2008 08 26 03 54  0.69  8.33  56           6.30                           29.2           1
2008 08 26 04 24  0.68  9.88  55           6.42                           29.2           1
2008 08 26 04 54  0.64  9.88  56           6.08                           29.2           1
2008 08 26 05 24  0.65  7.69  56           6.22                           29.2           1
2008 08 26 05 54  0.62  8.33  56           6.14                           29.1           1
2008 08 26 06 24  0.67  9.88  57           6.51                           29.1           1
2008 08 26 06 54  0.68  9.88  55           6.48                           29.1           1
2008 08 26 07 24  0.67  8.33  56           6.53                           29.1           1
2008 08 26 07 54  0.62  9.09  57           6.46                           29.1           1
2008 08 26 08 24  0.67  9.88  57           6.75                           29.1           1
2008 08 26 08 54  0.70  9.09  57           6.98                           29.1           1
2008 08 26 09 24  0.61  9.88  59           6.79                           29.0           1
2008 08 26 09 54  0.68  9.88  57           6.90                           29.1           1
2008 08 26 10 24  0.64  8.33  56           6.71                           29.1           1
2008 08 26 10 54  0.61  9.09  56           6.67                           29.1           1
2008 08 26 11 24  0.61  9.09  53           6.56                           29.1           1
2008 08 26 11 54  0.63  9.09  55           6.67                           29.1           1
2008 08 26 12 24  0.61  9.09  56           6.65                           29.2           1
2008 08 26 12 54  0.61  9.88  56           6.39                           29.2           1
2008 08 26 13 24  0.66  9.88  56           6.66                           29.2           1
2008 08 26 13 54  0.66  9.09  55           6.82                           29.2           1
2008 08 26 14 24  0.64  9.09  56           6.69                           29.2           1
2008 08 26 14 54  0.65  9.09  56           6.88                           29.2           1
2008 08 26 15 24  0.66  9.88  53           6.97                           29.2           1
2008 08 26 15 54  0.63  9.88  56           6.63                           29.4           1
2008 08 26 16 24  0.64  9.88  50           6.63                           29.3           1
2008 08 26 16 54  0.59  9.88  56           6.78                           29.5           1
2008 08 26 17 24  0.65  9.09  52           6.94                           29.5           1
2008 08 26 17 54  0.57  9.88  53           6.70                           29.5           1
2008 08 26 18 24  0.60  9.88  50           6.84                           29.5           1
2008 08 26 18 54  0.58  9.88  50           6.76                           29.5           1
2008 08 26 19 24  0.50  9.09  50           6.38                           29.4           1
2008 08 26 19 54  0.53  9.88  52           6.81                           29.4           1
2008 08 26 20 24  0.55  9.88  56           6.93                           29.5           1
2008 08 26 20 54  0.52  9.09  49           6.88                           29.5           1
2008 08 26 21 24  0.53  9.09  50           6.82                           29.5           1
2008 08 26 21 54  0.51  9.09  53           6.96                           29.4           1
2008 08 26 22 24  0.48  9.09  52           6.68                           29.4           1
2008 08 26 22 54  0.50  9.09  50           6.79                           29.3           1
2008 08 26 23 24  0.49  9.09  49           6.80                           29.3           1
2008 08 26 23 54  0.51  8.33  50           6.84                           29.3           1
2008 08 27 00 24  0.52  9.09  49           6.77                           29.3           1
2008 08 27 00 54  0.50  9.09  50           6.99                           29.3           1
2008 08 27 01 24  0.49  8.33  46           6.78                           29.3           1
2008 08 27 01 54  0.49  9.09  52           6.91                           29.2           1
2008 08 27 02 24  0.48  9.09  52           6.96                           29.3           1
2008 08 27 02 54  0.48  9.09  55           7.16                           29.3           1
2008 08 27 03 24  0.48  9.09  56           7.10                           29.3           1
2008 08 27 03 54  0.48  9.09  57           7.11                           29.3           1
2008 08 27 04 24  0.50  8.33  53           7.05                           29.2           1
2008 08 27 04 54  0.47  9.09  55           6.96                           29.2           1
2008 08 27 05 24  0.45  9.09  50           6.60                           29.2           1
2008 08 27 05 54  0.50  9.09  55           6.18                           29.2           1
2008 08 27 06 24  0.47  9.09  56           6.00                           29.2           1
2008 08 27 06 54  0.48  9.09  56           6.40                           29.2           1
2008 08 27 07 24  0.44  9.09  55           6.17                           29.2           1
2008 08 27 07 54  0.46  8.33  55           6.58                           29.2           1
2008 08 27 08 24  0.43  7.69  53           6.50                           29.2           1
2008 08 27 08 54  0.48  8.33  53           6.79                           29.2           1
2008 08 27 09 24  0.47  8.33  53           6.87                           29.2           1
2008 08 27 09 54  0.47  8.33  53           6.89                           29.2           1
2008 08 27 10 24  0.42  8.33  52           6.80                           29.1           1
2008 08 27 10 54  0.45  9.09  55           6.95                           29.2           1
2008 08 27 11 24  0.43  8.33  53           6.73                           29.2           1
2008 08 27 11 54  0.44  8.33  55           6.74                           29.2           1
2008 08 27 12 24  0.47  8.33  50           6.75                           29.2           1
2008 08 27 12 54  0.50  7.14  47           6.60                           29.3           1
2008 08 27 13 24  0.47  7.14  47           6.41                           29.4           1
2008 08 27 13 54  0.46  7.69  50           6.32                           29.7           1
2008 08 27 14 24  0.51  6.67  52           6.56                           29.7           1
2008 08 27 14 54  0.49  7.69  53           6.48                           29.8           1
2008 08 27 15 24  0.52  9.09  49           6.62                           29.8           1
2008 08 27 15 54  0.54  8.33  56           6.82                           29.5           1
2008 08 27 16 24  0.54  9.09  53           6.96                           29.3           1
2008 08 27 16 54  0.51  8.33  53           6.90                           29.3           1
2008 08 27 17 24  0.54  8.33  53           7.13                           29.4           1
2008 08 27 17 54  0.55  8.33  55           6.86                           29.8           1
2008 08 27 18 24  0.50  8.33  53           6.73                           30.2           1
2008 08 27 18 54  0.48  7.69  50           6.77                           30.3           1
2008 08 27 19 24  0.48  8.33  52           6.89                           30.3           1
2008 08 27 19 54  0.49  7.14  50           6.79                           30.0           1
2008 08 27 20 24  0.48  7.14  55           6.69                           29.8           1
2008 08 27 20 54  0.50  8.33  53           6.82                           29.7           1
2008 08 27 21 24  0.47  8.33  53           6.86                           29.7           1
2008 08 27 21 54  0.46  7.69  55           6.57                           29.7           1
2008 08 27 22 24  0.52  8.33  52           5.40                           29.7           1
2008 08 27 22 54  0.50  8.33  55           4.91                           29.7           1
2008 08 27 23 24  0.52  9.09  53           4.93                           29.6           1
2008 08 27 23 54  0.50  8.33  53           4.67                           29.5           1
2008 08 28 00 24  0.52  8.33  52           5.19                           29.5           1
2008 08 28 00 54  0.46  8.33  50           5.13                           29.5           1
2008 08 28 01 24  0.45  6.67  43           5.14                           29.5           1
2008 08 28 01 54  0.47  8.33  53           5.13                           29.4           1
2008 08 28 02 24  0.49  7.69  50           5.21                           29.5           1
