%
%
% Run:F32   Table:BUOYS             SWAN version:41.51
%
%       Dist          Depth         Hsig          RTpeak        Tm01          Tm02          Dspr          Dir         X-WForce      Y-WForce   
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [degr]        [degr]        [N/m2]        [N/m2]   
%
           0.       15.3753       3.21118        8.1401        6.6743        6.1771       37.3141       269.997       0.00004       0.00002 
        3426.       11.9211       2.74255        8.1401        6.7353        6.3785       29.8264       272.989      -0.27058       0.07483 
        5071.        6.0085       2.24578        8.1401        6.9067        6.5692       22.6393       274.705       1.03471      -0.10001 
        6596.        5.9549       2.21661        8.1401        6.9300        6.5988       22.0653       273.242       1.07259      -0.07608 
        9603.        4.1668       0.26105        8.1401        6.9665        6.6572       53.1415       198.162       0.01451      -0.00180 
       11422.        4.7667       0.87874        8.1401        6.8738        6.5009       28.1200       274.287       0.36519       0.31624 
       12736.        4.3710       1.11446        8.1401        6.9538        6.6038       22.4979       265.250       0.30859      -0.14869 
       19553.        5.7920       0.25920        8.1401        5.9316        5.3217       17.7012       265.419       0.01464      -0.01409 
